artist_name,score
Kygo,81.99741393601663
The Weeknd,79.01646465994925
Justin Bieber,57.84301709529905
The 1975,53.086276632381384
Kehlani,52.37072668906671
Dua Lipa,45.96714492978206
Sam Hunt,41.0549753247087
J Balvin,40.704656766076866
5 Seconds of Summer,37.29856490133734
Tory Lanez,34.3804052917688
Justin Timberlake,29.235797015134743
Jhené Aiko,26.299108423640643
The Strokes,24.825420846589985
Tame Impala,24.47714308339598
Selena Gomez,24.432093479957675
Diplo,23.999696477727838
Lady Gaga,21.279562025066706
Niall Horan,18.46363475816917
Kenny Chesney,18.363241039632896
Travis Barker,18.217664314502787
Trey Songz,17.835537274834852
Jeremy Zucker,17.70016714580514
Chris Brown,16.586817600288704
Charlie Puth,16.21044505212183
Childish Gambino,15.861959499860617
Ty Dolla $ign,14.546987923604604
Ellie Goulding,13.747801023810485
Florida Georgia Line,12.890676064730478
Hayley Williams,12.785898205848994
Daddy Yankee,12.61622372135465
Gorillaz,11.00615413507964
Troye Sivan,10.897136103760555
Jack Johnson,10.733465144236758
Five Finger Death Punch,10.212075314862798
Foster the People,9.813578048450655
Elevation Worship,9.798739089552663
Sia,9.359165378103619
Andy Grammer,9.132715945000049
OneRepublic,9.026533412139955
Cheat Codes,8.847142739763326
Taylor Swift,8.683137600314858
Wisin & Yandel,8.46641308770851
Brent Faiyaz,8.447786294841329
The Killers,8.365535177892346
Luis Fonsi,8.246418946223143
Kehlani,8.1867560345236
Ne-Yo,8.044466574718934
LANY,7.95935911037503
John Legend,7.755706679662344
Fiona Apple,7.745098596344464
Jonas Brothers,7.537235234071853
Tory Lanez,7.504988007579744
Babyface,7.437086771644771
Disclosure,7.402811562437547
Ariana Grande,7.260054874366763
Kelly Clarkson,7.213541970287751
Mary J. Blige,7.213541970287751
Juanes,7.166771156284309
Dance Gavin Dance,7.163282631886803
Luke Combs,7.087215385433067
Brandi Carlile,7.053700768797287
Miguel,7.000491655497055
Nicky Jam,6.896776844044172
Jonas Brothers,6.79591739188783
T-Pain,6.6228569941866375
MK,6.229104696702729
Don Omar,6.163852779590798
Nick Jonas,6.111853187995111
Cole Swindell,6.058387898495558
Leon Bridges,6.032583580273807
Jeremih,5.933614667042527
Luke Bryan,5.830585255990184
Miguel,5.8152967257460535
Reik,5.763436112570302
Major Lazer,5.627080907910459
Diplo,5.627080907910459
Omarion,5.602733990668902
Enrique Iglesias,5.563489100403676
Tiësto,5.330909567298792
Tori Kelly,5.2287936827096235
Kirk Franklin,5.2287936827096235
OneRepublic,5.204370226846777
Usher,5.0676706121468715
Alejandro Fernández,5.037888708339336
James Blake,4.97209278299752
Zac Brown,4.948790118773892
Neon Trees,4.897442130692461
JoJo,4.887008016065839
Tink,4.668482136028835
Jon Bellion,4.632860610543143
Demi Lovato,4.611353233722911
Katy Perry,4.584274740686363
Kelly Clarkson,4.494759644037788
Beyoncé,4.445821275899121
Kelly Rowland,4.3563969697908345
T-Pain,4.3326478622135305
Dixie Chicks,4.325002028161253
Whitney Houston,4.309569844048301
Zara Larsson,4.257580922071164
Daddy Yankee,4.188629385931797
Alicia Keys,4.157653179342969
Avicii,4.130163851232529
Marc Anthony,4.108090543519849
Glass Animals,4.077397673319144
Breaking Benjamin,4.072521346694633
Alejandro Sanz,4.038048312245579
Buju Banton,4.015062254550298
Keith Urban,3.9945672642360504
Skylar Grey,3.9943160453477873
Jason Mraz,3.993430601001551
Brad Paisley,3.903363750496501
Yungblud,3.887131630707853
Destructo,3.8802881815503296
Bon Iver,3.8672272937869474
Ashanti,3.8513654881352295
Jhené Aiko,3.8324447835431563
Mavis Staples,3.7945270635175365
The Pussycat Dolls,3.776092087553285
David Guetta,3.733393063729359
Deadmau5,3.723864059331757
The Neptunes,3.723864059331757
Kadhja Bonet,3.707620257178706
J Balvin,3.668403023574357
Carly Rae Jepsen,3.654106746550095
Tim McGraw,3.6286875445167475
Jason Derulo,3.6241075506212383
Mickey Guyton,3.5629256241627383
Cash Cash,3.5164385374841416
Andy Grammer,3.5164385374841416
Elton John,3.38829849098835
Bastille,3.380329340420076
Jamila Woods,3.237157582858557
All Time Low,3.2071887808903483
Reba McEntire,3.1869904372022786
Chris Tomlin,3.1869904372022786
Keith Urban,3.1869904372022786
Avicii,3.184146723161101
Demi Lovato,3.141002100981919
Terrace Martin,3.1284822004029422
A Day to Remember,3.1201312603333595
Becky G,3.1135778583016687
Ricky Martin,3.0743330942821983
Chris Lane,3.0441621900615137
Meghan Trainor,3.035676191368116
Zion & Lennox,3.031534895256404
Lorde,3.0126185682165225
Petit Biscuit,3.000870084469565
CNCO,2.947936143120529
Frank Ocean,2.9337165211128093
John Mayer,2.904101379870865
Oliver Nelson,2.903393103376969
Flume,2.8992974515577488
Toro y Moi,2.8992974515577488
Justin Bieber,2.854274393078202
Astrid S,2.851832427510503
Little Mix,2.8397201354638977
Christina Aguilera,2.7496953458836426
Carnage,2.596604021830542
Ed Sheeran,2.5754754983287054
Shaggy,2.5227346032723235
Shakira,2.411704176599538
Little Big Town,2.401302302725312
Twenty One Pilots,2.230783114655609
Sam Smith,2.134631414492951
Rihanna,2.0669999584113574
Christina Aguilera,2.0563353105002835
Kali Uchis,2.0529452472163006
Stevie Wonder,1.9310667689163088
Miranda Lambert,1.8740093956639534
Ariana Grande,1.734227364257068
Billie Eilish,1.3328597545568779
Thundercat,1.1569789523526726
Bon Jovi,1.0527913720175743
Sean Paul,1.0438297927724813
Maroon 5,1.0380958620287342
Nelly Furtado,1.0343030284295638
Chris Brown,1.0201230035177349
Dire Straits,1.012069066378802
Pharrell Williams,1.008661495734973
Sky,1.008661495734973
Nicky Jam,1.0066518305646788
De la Ghetto,1.0066518305646788
Jennifer Lopez,0.995240128817749
